,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,sqft_living15,sqft_lot15,walk_score,transit_score,pers_crime_score,prop_crime_score,income,renovated_yrs_ago,log_price
6531,334998,2,1.0,1800,5182,1.0,0,0,3,6,900,900,73,1570,5876,49,59,4.0,4.0,60682,73,12.721879840640128
6533,371000,3,1.0,890,7200,1.0,0,0,3,7,890,0,64,1630,7455,32,49,2.0,2.0,87222,64,12.823957341589573
6534,840000,3,2.5,2060,9715,2.0,0,0,3,8,2060,0,91,1240,7072,69,59,1.0,1.0,80400,9,13.641157170819495
6538,685000,3,2.0,2210,5000,1.5,0,2,3,7,1710,500,106,1920,5000,81,52,1.0,1.0,81563,106,13.437174117244362
6540,529950,3,1.0,1240,5000,1.5,0,0,5,7,1240,0,106,1240,4900,78,47,2.0,2.0,85595,106,13.180537941455402
6542,792000,3,1.5,1570,1050,2.0,0,0,3,8,1570,0,100,2070,3600,93,63,2.0,2.0,98750,100,13.582316670796564
6543,353900,3,1.75,1560,5760,1.0,0,0,5,6,780,780,88,1320,7680,57,54,3.0,3.0,54622,88,12.776769666333553
6544,440000,4,2.0,2310,5004,1.0,0,0,3,7,1430,880,21,1630,5060,36,55,3.0,3.0,60682,21,12.994530005894447
6545,1008000,4,3.5,2650,3060,2.0,0,0,3,9,2060,590,14,1470,3060,72,51,2.0,2.0,65172,14,13.823478727613448
6548,430000,3,1.0,940,12521,1.5,0,0,4,7,940,0,66,1920,9046,57,49,1.0,1.0,60131,66,12.971540487669744
6550,375000,3,2.0,2240,5200,1.0,0,0,3,7,1630,610,61,1470,3775,81,59,1.0,1.0,104632,61,12.834681304952548
6551,400000,2,1.0,1010,3916,1.0,0,2,4,6,810,200,97,1580,3888,64,69,2.0,2.0,66458,97,12.89921982609012
6555,375000,3,1.0,1210,7425,1.0,0,0,4,6,1210,0,105,1260,7425,49,57,3.0,3.0,60131,105,12.834681304952548
6556,385000,3,1.75,1890,9920,1.0,0,0,3,7,1230,660,71,1380,9086,63,51,2.0,2.0,56208,71,12.86099861326992
6557,591500,4,2.5,1690,4080,1.5,0,0,4,7,1140,550,103,1600,4590,76,50,2.0,2.0,90789,103,13.29041696240058
6559,327000,2,1.0,1140,7435,1.0,0,0,3,7,1140,0,63,1320,9385,65,51,2.0,2.0,56208,25,12.697715449879393
6562,272000,3,2.0,1200,5700,1.0,0,0,5,7,1200,0,73,1190,6384,27,43,1.0,1.0,73750,73,12.513557345278134
6564,550000,3,1.75,1570,6500,1.0,0,0,3,7,920,650,67,1570,5750,64,42,1.0,1.0,106319,67,13.217673557208656
6565,248000,3,1.0,1470,7680,1.0,0,0,3,7,1220,250,69,1470,6784,59,54,3.0,3.0,54622,69,12.421184025147117
6566,546940,3,1.0,1470,7680,1.0,0,0,3,7,1220,250,69,1470,6784,59,54,3.0,3.0,54622,69,13.212094386173924
6568,593000,2,2.5,2000,2500,3.0,0,1,3,8,1810,190,21,1970,5650,58,39,1.0,1.0,106319,21,13.292949677979864
6569,390000,2,1.0,1140,8147,1.0,0,0,3,7,1140,0,57,1260,8148,79,55,2.0,2.0,44951,57,12.873902018105829
6571,300000,3,2.0,1260,2550,2.0,0,0,3,7,1260,0,28,1590,3825,81,50,2.0,2.0,90789,28,12.61153775363834
6572,500000,3,2.0,1560,1156,3.0,0,0,3,8,1560,0,1,1560,1728,84,71,3.0,3.0,56700,1,13.122363377404328
6573,900000,8,4.0,4020,7500,1.0,0,0,3,8,2010,2010,47,1560,3737,70,54,1.0,1.0,97500,47,13.710150042306447
6574,425000,2,1.0,1320,8830,1.0,0,0,3,7,1020,300,76,1620,8531,80,35,1.0,1.0,157292,76,12.959844447906553
6575,411000,1,1.0,1080,5000,1.5,0,0,3,7,1080,0,67,1620,4000,68,50,1.0,1.0,66563,67,12.926348493478372
6581,398500,2,2.5,1780,1311,3.0,0,0,3,8,1350,430,10,1390,1227,65,62,3.0,3.0,87159,10,12.895462777212408
6583,600000,2,1.0,1180,2160,1.0,0,1,3,7,940,240,106,2700,5400,69,58,1.0,1.0,100172,106,13.304684934198285
6584,645000,3,1.0,2270,4182,1.0,0,0,4,7,1170,1100,69,1860,4080,75,54,2.0,2.0,111661,69,13.37700559577791
6588,320000,2,1.0,820,5400,1.0,0,0,3,6,820,0,75,1370,5632,76,55,2.0,2.0,96193,75,12.676076274775909
6590,770000,5,1.5,2160,5000,1.5,0,2,4,8,2160,0,89,1450,4265,72,58,2.0,2.0,93155,89,13.554145793829866
6591,850000,3,3.0,1910,4800,1.5,0,0,3,9,1910,0,115,1280,1310,89,65,2.0,2.0,65625,24,13.652991628466498
6592,155000,2,1.0,910,6232,1.0,0,0,3,6,910,0,72,1070,6232,77,60,4.0,4.0,61901,72,11.951180395901384
6594,707000,2,2.5,2130,5001,1.0,0,0,5,8,1330,800,43,1750,6000,70,43,1.0,1.0,90951,43,13.468785944878707
6595,497000,3,2.5,1220,1475,3.0,0,0,3,8,1220,0,15,1220,1546,59,47,2.0,2.0,95927,15,13.116345305078768
6596,349170,4,1.75,1670,8856,1.0,0,2,3,7,1070,600,60,1660,8088,37,47,2.0,2.0,71524,60,12.763314188604133
6600,365000,2,1.5,790,1123,2.0,0,0,3,8,700,90,12,1370,1281,60,63,1.0,1.0,87667,12,12.807652632564631
6602,402000,4,2.25,2000,3672,2.0,0,0,5,7,1650,350,89,2000,5100,84,45,2.0,2.0,85595,89,12.904207367601158
6608,435000,4,2.75,2160,8148,1.0,0,0,3,7,1410,750,37,2060,8100,60,53,2.0,2.0,56208,37,12.983101310070822
6618,264000,1,1.0,710,4725,1.0,0,0,3,6,710,0,76,900,5250,66,50,3.0,3.0,64297,76,12.483704382128453
6620,615000,2,1.5,880,2400,1.5,0,0,3,7,880,0,86,1220,4440,78,59,2.0,2.0,104632,86,13.329377546788654
6628,410000,3,2.0,1320,6000,1.5,0,0,4,7,1320,0,95,1620,4000,79,72,2.0,2.0,66458,95,12.923912438680489
6630,500000,4,2.0,2280,7200,1.0,0,0,4,7,2280,0,59,1100,7620,54,51,2.0,2.0,62726,59,13.122363377404328
6631,961000,5,2.75,2590,6120,2.0,0,0,3,8,2590,0,106,1390,3060,75,68,2.0,2.0,88914,106,13.775729687952431
6633,734000,3,1.75,2145,3840,1.5,0,0,5,8,2145,0,105,1140,3840,91,51,2.0,2.0,103750,105,13.506264307596652
6635,190000,1,1.0,720,4800,1.0,0,0,3,6,720,0,101,1240,4860,81,58,4.0,4.0,38846,101,12.154779351142626
6637,1300000,3,1.0,2040,7936,1.0,0,3,5,8,1680,360,75,2300,10080,24,39,1.0,1.0,96193,75,14.077874822431765
6638,417000,2,1.0,920,6600,1.0,0,0,3,6,920,0,96,1510,5944,58,54,2.0,2.0,61901,12,12.94084150078094
6639,275000,2,1.0,680,4190,1.0,0,0,2,5,680,0,109,1070,4175,96,53,3.0,3.0,103750,109,12.524526376648707
6641,435000,4,2.75,2230,9640,1.0,0,0,3,8,1320,910,17,2100,9600,23,51,2.0,2.0,64297,17,12.983101310070822
6643,408000,5,3.25,2820,6589,1.5,0,0,3,7,2320,500,109,1560,5647,75,62,4.0,4.0,52412,1,12.9190224533863
6644,570000,2,1.0,1790,3760,1.5,0,0,4,8,1490,300,103,1458,3760,59,59,2.0,2.0,79953,103,13.253391639810731
6645,1540000,5,3.25,2920,6960,2.0,0,1,3,9,2120,800,62,2470,6735,57,51,1.0,1.0,110091,7,14.247292974389813
6646,400000,2,1.0,840,5510,1.0,0,0,3,7,840,0,60,1630,5510,46,45,2.0,2.0,102500,60,12.89921982609012
6648,235000,2,1.0,1270,3008,1.0,0,0,4,6,650,620,92,1270,1514,81,65,4.0,4.0,52412,92,12.367340793126294
6649,675000,4,1.75,2460,5750,1.5,0,3,5,7,1620,840,96,1760,4830,82,53,2.0,2.0,66794,96,13.422467969854667
6650,516200,3,2.0,2110,5150,1.0,0,0,5,6,1080,1030,96,1170,5107,76,44,3.0,3.0,84324,96,13.154249566266651
6652,540000,3,1.75,1610,3478,1.5,0,0,4,7,1060,550,86,1610,3478,81,48,2.0,2.0,85595,86,13.199324418540455
6657,277000,3,1.0,1100,8536,1.0,0,0,4,7,1100,0,58,1570,8040,60,48,3.0,3.0,38846,58,12.531772785169474
6658,449500,6,4.0,2280,5275,1.0,0,0,3,7,1270,1010,17,1760,6642,79,63,4.0,4.0,60682,17,13.015891132893813
6659,785950,4,3.0,2530,4560,1.5,0,0,3,7,1540,990,90,1640,4560,64,56,2.0,2.0,154868,1,13.574648456156385
6661,435000,2,1.0,800,5000,1.0,0,0,3,7,800,0,109,1410,5000,86,53,2.0,2.0,85595,109,12.983101310070822
6663,563250,3,1.75,1370,2800,1.0,0,0,5,7,800,570,33,2270,3773,79,56,2.0,2.0,137358,33,13.241478858294489
6665,620000,3,1.5,1620,6630,1.0,0,0,3,8,1280,340,61,1880,5100,29,44,1.0,1.0,95927,61,13.337474757021274
6666,275000,2,2.0,1290,9041,1.0,0,0,3,7,950,340,59,1290,5000,67,61,2.0,2.0,47604,59,12.524526376648707
6670,350000,3,1.0,2010,6000,1.0,0,0,3,7,1210,800,48,2460,6000,49,60,4.0,4.0,60682,48,12.765688433465595
6673,273000,3,1.0,1500,6250,1.0,0,0,3,6,890,610,70,1210,6250,48,46,2.0,2.0,55504,70,12.517227074167097
6678,608000,3,2.5,1760,1472,3.0,0,0,3,8,1640,120,9,1760,5400,70,59,2.0,2.0,87667,9,13.317930160948306
6680,760000,6,3.75,3810,6150,2.0,0,0,4,8,3810,0,38,1830,5125,63,60,3.0,3.0,87159,38,13.541073712262516
6681,350000,2,1.0,1160,5395,1.0,0,0,3,7,860,300,75,1664,5363,76,56,2.0,2.0,65188,75,12.765688433465595
6683,215000,3,1.0,980,5600,1.0,0,0,2,6,980,0,66,1840,5302,48,52,3.0,3.0,54622,66,12.278393307109802
6685,730000,4,2.0,2360,6000,1.0,0,0,5,7,1260,1100,76,1720,6000,41,34,1.0,1.0,157292,76,13.500799813124573
6688,358000,2,1.5,960,1808,2.0,0,0,3,7,960,0,22,1290,1668,82,59,2.0,2.0,104632,22,12.788288265382835
6692,920000,4,2.75,2880,5750,1.5,0,0,5,9,1710,1170,87,1640,5750,73,39,1.0,1.0,77808,87,13.732128949025224
6697,290000,3,1.0,960,4560,1.0,0,0,4,7,960,0,47,970,4800,41,47,2.0,2.0,74107,47,12.577636201962655
6699,505000,3,2.25,1670,1596,2.0,0,0,3,8,1220,450,13,1670,1596,59,39,1.0,1.0,90951,13,13.132313708257493
6704,399888,4,2.25,1820,8255,1.5,0,0,4,7,1320,500,85,1550,7628,65,49,3.0,3.0,60131,85,12.898939786882801
6705,430000,2,1.0,1050,2570,1.0,0,0,5,7,850,200,88,1080,2800,80,45,2.0,2.0,97500,88,12.971540487669744
6706,405000,2,1.0,860,2599,1.0,0,0,4,6,860,0,114,1300,3900,90,53,2.0,2.0,85595,114,12.911642346088676
6712,1482500,3,2.25,3290,5000,2.0,0,0,3,9,2730,560,76,2340,4000,59,52,1.0,1.0,132917,76,14.209240409854017
6713,853800,7,4.0,2960,2665,2.0,0,0,3,9,1950,1010,88,1970,4410,66,76,3.0,3.0,47737,2,13.657452253306
6716,514000,3,1.75,1720,5899,1.0,0,1,3,8,1220,500,29,1900,6244,73,50,1.0,1.0,102500,29,13.149978544437301
6718,1395710,4,2.25,3960,8640,2.0,0,2,3,9,2630,1330,90,3850,8640,60,57,2.0,2.0,154868,90,14.148913804334578
6724,450000,3,1.0,1290,5440,1.0,0,0,4,6,790,500,86,1220,5464,73,56,2.0,2.0,62786,86,13.017002861746507
6728,432000,2,1.0,960,3235,1.0,0,0,4,7,960,0,99,1290,2069,88,61,3.0,3.0,65625,99,12.976180867226248
6730,415000,3,1.0,1630,8146,1.0,0,0,3,7,1630,0,63,1480,8146,75,53,2.0,2.0,44951,63,12.936033799212835
6731,450000,2,1.0,910,5000,1.0,0,0,4,6,910,0,101,1480,5000,77,52,2.0,2.0,90789,101,13.017002861746507
6734,280000,3,2.25,1220,5739,1.0,0,0,3,7,790,430,31,1870,5739,56,62,1.0,1.0,61391,31,12.542544882151384
6741,357000,3,1.0,1370,6450,1.0,0,0,3,7,1370,0,67,1550,6898,70,56,3.0,3.0,44951,67,12.785491060761776
6742,390000,2,1.5,1050,934,2.0,0,0,3,8,960,90,8,1470,1885,76,78,4.0,4.0,56700,8,12.873902018105829
6744,305000,2,1.0,1210,7140,1.5,0,0,3,6,1210,0,94,1150,7376,80,50,3.0,3.0,62726,94,12.628067055589547
6746,260000,3,2.0,2710,5000,2.0,0,0,3,6,2710,0,64,850,5000,81,56,3.0,3.0,47701,64,12.468436909997664
6754,489000,4,1.0,1150,5217,1.5,0,0,3,7,1150,0,64,1220,5217,79,46,2.0,2.0,110458,64,13.10011776845701
6755,400000,2,1.0,920,5120,1.0,0,0,5,7,920,0,63,1190,5120,72,49,1.0,1.0,66794,63,12.89921982609012
6757,305000,6,2.0,1900,8240,1.0,0,0,2,7,1200,700,51,1900,8240,42,50,2.0,2.0,132981,51,12.628067055589547
6758,649950,6,2.0,1900,8240,1.0,0,0,2,7,1200,700,51,1900,8240,42,50,2.0,2.0,132981,51,13.384650715836164
6764,550000,7,4.0,3440,8100,2.0,0,0,3,7,3440,0,45,1420,1560,76,56,2.0,2.0,56744,45,13.217673557208656
6765,410000,3,1.0,1190,5280,1.0,0,0,4,7,1190,0,58,1280,5280,33,44,1.0,1.0,83421,58,12.923912438680489
6766,410000,2,1.0,1030,4366,1.0,0,0,3,7,1030,0,103,1890,4499,42,46,1.0,1.0,102500,103,12.923912438680489
6769,518000,5,1.0,1590,5000,1.5,0,0,3,7,1190,400,86,1590,5000,78,48,1.0,1.0,71705,86,13.15773052124162
6775,315000,3,1.0,1160,3700,1.5,0,0,3,7,1160,0,106,1340,3750,39,52,1.0,1.0,67277,106,12.66032791780777
6776,499950,3,1.0,1440,5580,1.5,0,0,3,7,1440,0,107,2010,5580,64,56,2.0,2.0,111661,107,13.122263372403994
6777,780000,4,2.0,2600,4800,1.0,0,2,3,8,1400,1200,62,2050,3505,81,60,2.0,2.0,100172,62,13.567049198665776
6778,500000,2,1.0,1010,3885,1.5,0,0,4,7,1010,0,109,1770,4200,87,65,2.0,2.0,68199,25,13.122363377404328
6787,514950,3,2.25,1310,1264,3.0,0,0,3,8,1310,0,1,1330,2183,76,53,2.0,2.0,62786,1,13.151825087553947
6793,1100000,3,2.75,2640,4050,1.5,0,0,5,8,1750,890,89,1920,3600,83,33,2.0,2.0,132000,89,13.9108207377686
6794,450000,3,1.0,1450,3350,1.5,0,0,4,7,1450,0,96,1340,4255,82,54,2.0,2.0,66794,96,13.017002861746507
6796,920000,6,3.0,3300,4218,2.0,0,0,3,8,2200,1100,45,1420,4218,89,64,2.0,2.0,84728,45,13.732128949025224
6809,616500,4,2.25,1880,3000,2.0,0,0,3,8,1760,120,106,1880,3000,85,52,2.0,2.0,90568,38,13.331813601586536
6810,750000,4,2.75,2640,3750,2.0,0,0,5,7,1840,800,104,1690,5000,76,48,2.0,2.0,97500,104,13.527828485512496
6812,540000,4,1.75,1840,4280,1.0,0,0,4,7,920,920,97,1660,4280,92,70,3.0,3.0,88914,97,13.199324418540455
6815,490000,3,2.25,1410,7740,1.0,0,0,5,6,1410,0,92,1220,7740,79,57,4.0,4.0,47701,92,13.102160670086805
6818,485000,2,1.0,1130,3800,1.0,0,0,4,7,1130,0,99,1470,3800,85,53,2.0,2.0,90789,99,13.09190416991962
6821,905000,4,3.5,2980,3000,2.0,0,0,3,9,2340,640,7,1810,4545,77,50,2.0,2.0,65172,7,13.715690222682063
6822,440000,4,1.0,1440,6678,1.0,0,0,3,7,1040,400,65,1320,6678,64,45,1.0,1.0,106319,65,12.994530005894447
6825,475000,2,1.0,820,2723,1.0,0,0,3,7,820,0,94,1370,3850,94,58,3.0,3.0,65625,94,13.071070083016776
6827,491000,3,2.0,1660,5070,2.0,0,3,3,8,1660,0,65,2440,6664,61,63,4.0,4.0,60682,25,13.104199406776656
6831,225000,4,1.0,1150,6000,1.5,0,0,3,6,1150,0,108,840,3030,87,58,4.0,4.0,59275,108,12.323855681186556
6835,304000,2,2.25,1320,1034,3.0,0,0,3,7,1320,0,19,1330,1206,87,59,3.0,3.0,56744,19,12.62478298038836
6836,650000,5,2.0,1910,4667,1.0,0,0,3,7,1010,900,107,1230,2545,84,65,2.0,2.0,68199,107,13.38472764187182
6840,448175,2,2.0,1370,1339,2.0,0,0,4,8,1150,220,9,1370,1339,78,59,2.0,2.0,76524,9,13.012939060123038
6842,494000,3,3.5,1570,1486,2.5,0,0,3,8,1330,240,15,1610,1486,64,49,1.0,1.0,66563,15,13.11029079617006
6843,1100000,4,3.0,2880,5500,2.0,0,0,4,9,1920,960,89,2110,5500,68,58,2.0,2.0,76980,89,13.9108207377686
6847,523500,2,2.0,1600,5969,1.0,0,0,4,7,800,800,65,1520,5969,63,45,1.0,1.0,106319,65,13.168292309292731
6848,885000,3,2.0,2590,3750,1.5,0,0,5,7,1790,800,111,2440,4000,91,64,2.0,2.0,98750,111,13.693342923990064
6849,483000,2,1.75,1240,3000,1.5,0,0,3,7,1240,0,109,1800,4080,72,66,2.0,2.0,88914,109,13.087771932634707
6853,332500,3,2.0,1600,7995,1.0,0,0,3,7,1600,0,65,2440,6900,63,46,4.0,4.0,38846,31,12.714395139078047
6857,503000,2,1.0,870,4280,1.0,0,2,4,6,870,0,94,1750,4280,78,57,1.0,1.0,110091,94,13.128345449081873
6858,738000,4,2.5,2830,5010,2.0,0,0,3,9,2170,660,15,1880,5739,52,61,1.0,1.0,61391,15,13.51169910358261
6859,393000,2,1.0,980,3350,1.0,0,0,4,7,980,0,90,1260,4000,90,52,1.0,1.0,90568,90,12.8815648908514
6861,505000,2,1.0,1000,4640,1.0,0,2,3,7,1000,0,100,1940,5800,92,52,2.0,2.0,71705,100,13.132313708257493
6864,713000,1,1.0,1180,4000,1.5,0,2,4,8,840,340,105,1420,4000,64,39,3.0,3.0,84324,105,13.477236699396435
6865,487000,3,1.75,1770,10125,2.0,0,0,3,7,1770,0,71,1680,9825,68,48,3.0,3.0,32472,37,13.096019402064725
6869,386000,3,1.5,1270,1318,2.0,0,0,3,7,1080,190,11,1360,1488,63,49,1.0,1.0,66563,11,12.863592648446968
6872,735000,3,2.0,1610,3600,2.0,0,2,5,8,1610,0,90,2540,6600,66,59,2.0,2.0,79953,90,13.507625778194974
6874,665000,5,2.75,2670,4000,2.0,0,0,4,7,1800,870,101,2460,4000,93,69,3.0,3.0,50500,101,13.407542319637992
6875,250000,2,1.0,860,4320,1.0,0,0,3,7,860,0,90,980,6000,66,39,3.0,3.0,35425,90,12.429216196844385
6876,563000,4,1.0,1410,3376,1.5,0,0,5,7,1410,0,104,1040,3600,89,61,2.0,2.0,93155,104,13.241034907121827
6878,400000,3,2.5,1460,1319,3.0,0,0,3,8,1460,0,13,1430,1530,77,56,3.0,3.0,56744,13,12.89921982609012
6879,317500,2,1.0,1000,5120,1.0,0,0,3,6,1000,0,113,1940,4300,85,69,3.0,3.0,56700,113,12.668233097314884
6883,649000,2,1.0,1280,4840,1.0,0,0,3,7,1200,80,107,1860,5500,69,54,1.0,1.0,96310,107,13.383187995686223
6885,337900,3,3.5,1500,1471,3.0,0,0,3,7,1500,0,16,1500,1445,72,56,2.0,2.0,72428,16,12.730505272702382
6886,535000,3,2.75,2490,3600,2.0,0,0,3,8,2290,200,109,1880,3600,87,56,2.0,2.0,137358,109,13.190022025878145
6887,325000,4,1.0,1530,5684,1.0,0,0,3,7,1130,400,58,1540,6095,46,57,4.0,4.0,60682,58,12.691580461311874
6889,650000,2,1.0,1280,6000,1.0,0,0,3,7,1280,0,50,2460,4800,85,33,2.0,2.0,132000,50,13.38472764187182
6890,640000,3,1.75,2340,4206,1.0,0,0,5,7,1170,1170,98,1360,4725,81,64,4.0,4.0,81676,98,13.369223455335856
6894,1275000,4,2.0,2850,7861,1.0,0,4,4,10,1450,1400,45,2810,8087,19,24,1.0,1.0,95927,45,14.058456736574664
6898,503000,3,2.0,1260,2500,1.0,0,0,4,7,750,510,28,1710,5000,82,52,2.0,2.0,85595,28,13.128345449081873
6900,749500,4,2.75,2490,3840,1.5,0,0,4,7,1610,880,93,1420,4000,91,64,2.0,2.0,84728,93,13.52716159652479
6904,616500,3,2.0,2080,4549,1.0,0,0,5,7,1040,1040,61,1620,4549,76,51,2.0,2.0,91458,61,13.331813601586536
6905,396000,1,1.0,630,5150,1.0,0,0,4,5,630,0,61,1390,5150,82,57,2.0,2.0,62786,61,12.889169490236617
6907,539000,2,1.75,1900,5175,1.0,0,0,3,7,1200,700,96,1370,5175,84,49,1.0,1.0,71705,96,13.197470849891136
6909,525000,3,1.0,2000,22500,1.0,0,0,3,7,1680,320,76,2000,10000,72,57,2.0,2.0,64549,76,13.17115354157376
6913,1050000,4,2.75,2250,3433,1.5,0,0,3,8,1500,750,88,1970,3484,63,62,2.0,2.0,131429,2,13.864300722133706
6916,495000,3,1.75,2080,3000,1.0,0,0,4,7,1040,1040,90,1000,3193,85,52,2.0,2.0,90568,90,13.112313041550827
6923,497000,2,1.0,770,3325,1.0,0,0,3,7,770,0,97,960,4800,87,61,4.0,4.0,76524,97,13.116345305078768
6926,655000,3,1.0,1370,5250,1.0,0,0,3,7,1070,300,76,2410,4200,67,64,2.0,2.0,96538,76,13.392390514617391
6928,632750,4,2.0,1800,4800,1.5,0,0,3,7,1800,0,97,1950,4800,61,61,2.0,2.0,131429,97,13.357830678407373
6934,533000,4,1.0,1550,4750,1.5,0,0,3,7,1550,0,96,1320,4750,76,48,1.0,1.0,101397,96,13.186276703147984
6935,640000,3,1.75,1680,8100,1.0,0,2,3,8,1680,0,65,1880,7750,35,44,1.0,1.0,125400,65,13.369223455335856
6943,530000,2,1.75,2120,7680,1.0,0,0,5,6,1130,990,67,1220,7680,58,50,2.0,2.0,75123,67,13.180632285528304
6948,300000,2,1.0,750,5120,1.0,0,0,4,6,750,0,74,930,7200,53,48,2.0,2.0,75123,74,12.61153775363834
6954,808000,4,2.25,2190,4104,2.0,0,0,5,8,1410,780,87,1990,3860,62,63,2.0,2.0,131429,87,13.602317337503234
6955,578500,3,1.0,1490,5700,1.5,0,0,3,7,1490,0,99,2290,5700,84,67,2.0,2.0,99083,99,13.26819382561587
6956,390000,3,2.0,1463,868,3.0,0,0,3,7,1463,0,12,1484,4320,65,56,2.0,2.0,91458,12,12.873902018105829
6958,755000,4,2.75,2880,4000,1.5,0,0,3,9,2100,780,103,2110,4000,58,69,3.0,3.0,81676,15,13.534473028231163
6959,579500,3,1.75,1250,4120,1.0,0,0,4,7,980,270,90,1250,4120,89,52,2.0,2.0,103750,90,13.269920941761944
6961,665000,4,1.75,2280,3680,1.5,0,0,5,7,1470,810,89,1850,3680,69,54,1.0,1.0,64797,89,13.407542319637992
6968,585000,2,1.0,1110,6000,1.0,0,0,3,7,1010,100,64,1410,3500,83,57,4.0,4.0,59275,64,13.279367126213991
6969,235000,2,1.0,720,4840,1.0,0,0,4,6,720,0,68,1510,4840,47,51,1.0,1.0,48036,68,12.367340793126294
6970,362362,2,1.0,710,4000,1.0,0,0,3,6,710,0,106,960,4000,78,43,3.0,3.0,84324,106,12.800398991140993
6975,665000,2,2.5,2600,5000,1.0,0,0,5,8,1300,1300,89,2260,5000,76,42,2.0,2.0,77808,89,13.407542319637992
6977,620000,2,1.0,1430,3000,1.5,0,0,3,7,1300,130,86,1750,4000,65,62,2.0,2.0,131429,86,13.337474757021274
6978,552625,4,2.0,2560,9390,1.0,0,0,5,8,1280,1280,58,1830,8169,53,53,2.0,2.0,60131,58,13.222434931128545
6984,390000,3,2.0,1080,7236,1.0,0,0,5,7,1080,0,68,1120,8008,78,57,3.0,3.0,60131,68,12.873902018105829
6985,466500,3,1.0,1430,3840,1.0,0,0,3,7,950,480,70,1430,3840,79,52,2.0,2.0,90789,70,13.053013299269535
6991,682000,2,1.0,890,5000,1.0,0,0,3,7,890,0,72,1680,5000,80,57,1.0,1.0,132917,72,13.432784936825596
6994,435000,3,3.0,1440,1350,3.5,0,2,3,8,1440,0,10,1440,1350,92,61,2.0,2.0,84728,10,12.983101310070822
6995,520000,3,2.75,1700,3264,1.0,0,0,3,7,1060,640,96,1880,4080,81,58,3.0,3.0,91458,96,13.161584090557609
6997,1100000,5,2.75,2520,4643,1.5,0,0,4,8,2120,400,99,2100,4564,60,60,2.0,2.0,131429,99,13.9108207377686
6999,650000,3,1.75,1550,5000,1.0,0,0,3,7,1250,300,104,1110,5000,85,55,2.0,2.0,72396,4,13.38472764187182
7000,475000,2,2.0,1440,3720,1.5,0,0,3,7,1440,0,32,1490,4308,60,59,2.0,2.0,111661,32,13.071070083016776
7004,840000,3,2.0,2783,11177,2.0,0,0,3,8,2783,0,105,1730,8018,60,48,1.0,1.0,102500,16,13.641157170819495
7007,350000,3,1.75,2090,6258,1.0,0,0,3,7,1390,700,59,1790,5793,45,57,4.0,4.0,60682,59,12.765688433465595
7010,550000,2,1.75,1740,7290,1.0,0,0,3,8,1280,460,65,1820,6174,66,37,1.0,1.0,90951,65,13.217673557208656
7011,324500,2,1.0,1300,6617,1.0,0,0,3,7,1300,0,29,1820,7800,68,58,2.0,2.0,56208,29,12.69004081512628
7013,511000,2,1.0,1250,5413,1.0,0,0,4,7,1250,0,92,1250,5413,70,58,2.0,2.0,80400,92,13.14412486918584
7018,1365000,3,2.5,2090,6000,1.5,0,0,4,9,2090,0,87,2730,6000,56,53,1.0,1.0,132917,87,14.126664986601195
7033,338000,2,1.0,1470,5566,1.0,0,0,4,7,770,700,96,1410,5808,74,59,4.0,4.0,61901,96,12.730801174465153
7034,505000,2,1.0,1070,8130,1.0,0,0,3,7,1070,0,73,1360,7653,77,56,2.0,2.0,62786,73,13.132313708257493
7044,670000,3,1.5,1220,4080,1.5,0,0,5,7,1220,0,101,1320,4080,78,65,4.0,4.0,81676,101,13.41503299136715
7046,310000,3,1.5,1060,6954,1.0,0,0,4,6,1060,0,32,1560,6372,34,42,2.0,2.0,79432,32,12.644327576461327
7049,660000,3,2.0,1140,6000,1.0,0,0,3,7,1140,0,106,1260,4000,84,62,2.0,2.0,98750,106,13.399995114002607
7055,775000,3,1.0,1460,6198,1.5,0,0,4,7,1460,0,99,2280,5160,83,61,2.0,2.0,93155,99,13.560618308335485
7058,442000,2,1.0,1410,5000,1.0,0,2,4,7,940,470,97,1450,5000,56,50,1.0,1.0,66794,97,12.999065161059836
7064,270000,3,1.0,1500,5605,1.0,0,0,5,6,750,750,73,1050,9100,48,45,2.0,2.0,74107,73,12.506177237980511
7065,495000,4,2.0,1610,4770,1.0,0,0,4,7,1230,380,74,1180,6120,53,46,1.0,1.0,75123,74,13.112313041550827
7067,716528,3,1.5,1750,5400,1.0,0,0,4,7,1050,700,63,1750,5400,44,46,1.0,1.0,110458,63,13.48217260434235
7069,690000,5,3.5,2690,4800,2.0,0,2,3,8,1930,760,96,2080,4900,67,37,4.0,4.0,84324,31,13.444446876573444
7071,505000,3,1.0,1020,5410,1.0,0,0,4,7,880,140,87,1580,5376,75,51,2.0,2.0,80400,87,13.132313708257493
7074,530000,3,1.0,1370,4040,1.5,0,0,3,7,1370,0,109,1220,3030,88,50,2.0,2.0,90568,109,13.180632285528304
7076,466000,4,2.0,2240,4508,1.0,0,2,4,8,1340,900,89,1930,5250,44,46,2.0,2.0,71524,89,13.051940913107787
7077,657100,4,1.0,1390,4240,1.0,0,0,3,7,1050,340,91,1810,4240,95,61,3.0,3.0,65625,91,13.395591492885961
7079,489000,2,1.0,850,2850,1.0,0,0,4,7,850,0,88,1450,4015,76,50,2.0,2.0,91458,88,13.10011776845701
