,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,sqft_living15,sqft_lot15,walk_score,transit_score,pers_crime_score,prop_crime_score,income,log_price
10104,511000,2,1.0,1250,5413,1.0,0,0,4,7,1250,0,1923,0,98115,1250,5413,70,58,A,B,80400,13.144124869185841
10111,1365000,3,2.5,2090,6000,1.5,0,0,4,9,2090,0,1928,0,98105,2730,6000,56,53,A,A,132917,14.126664986601197
10135,338000,2,1.0,1470,5566,1.0,0,0,4,7,770,700,1919,0,98118,1410,5808,74,59,D,D,61901,12.730801174465157
10136,505000,2,1.0,1070,8130,1.0,0,0,3,7,1070,0,1942,0,98117,1360,7653,77,56,B,B,62786,13.132313708257497
10152,670000,3,1.5,1220,4080,1.5,0,0,5,7,1220,0,1914,0,98144,1320,4080,78,65,C,D,81676,13.415032991367148
10154,310000,3,1.5,1060,6954,1.0,0,0,4,6,1060,0,1983,0,98106,1560,6372,34,42,B,B,79432,12.644327576461329
10160,660000,3,2.0,1140,6000,1.0,0,0,3,7,1140,0,1909,0,98109,1260,4000,84,62,B,B,98750,13.399995114002609
10167,775000,3,1.0,1460,6198,1.5,0,0,4,7,1460,0,1916,0,98107,2280,5160,83,61,B,B,93155,13.560618308335483
10172,442000,2,1.0,1410,5000,1.0,0,2,4,7,940,470,1918,0,98126,1450,5000,56,50,B,A,66794,12.999065161059836
10189,270000,3,1.0,1500,5605,1.0,0,0,5,6,750,750,1942,0,98106,1050,9100,48,45,B,B,74107,12.506177237980511
10190,495000,4,2.0,1610,4770,1.0,0,0,4,7,1230,380,1941,0,98126,1180,6120,53,46,A,A,75123,13.112313041550827
10192,716528,3,1.5,1750,5400,1.0,0,0,4,7,1050,700,1952,0,98115,1750,5400,44,46,A,A,110458,13.482172604342352
10195,690000,5,3.5,2690,4800,2.0,0,2,3,8,1930,760,1919,1984,98118,2080,4900,67,37,A,D,84324,13.444446876573442
10197,505000,3,1.0,1020,5410,1.0,0,0,4,7,880,140,1928,0,98115,1580,5376,75,51,A,B,80400,13.132313708257497
10202,530000,3,1.0,1370,4040,1.5,0,0,3,7,1370,0,1906,0,98103,1220,3030,88,50,B,B,90568,13.180632285528304
10206,466000,4,2.0,2240,4508,1.0,0,2,4,8,1340,900,1926,0,98178,1930,5250,44,46,A,B,71524,13.051940913107783
10208,657100,4,1.0,1390,4240,1.0,0,0,3,7,1050,340,1924,0,98103,1810,4240,95,61,B,C,65625,13.39559149288596
10212,489000,2,1.0,850,2850,1.0,0,0,4,7,850,0,1927,0,98115,1450,4015,76,50,A,B,91458,13.10011776845701
10219,950000,4,2.0,2490,4600,1.5,0,2,3,8,2090,400,1926,0,98105,2910,5000,34,45,A,A,132917,13.764217263576723
10223,535000,4,1.0,1920,6480,1.5,0,0,3,7,1920,0,1920,0,98117,1600,6470,86,56,C,B,90789,13.190022025878143
10225,457500,3,2.25,1430,2003,2.0,0,0,3,8,980,450,1996,0,98144,2210,4000,54,61,B,B,81676,13.033532163697712
10234,440000,2,1.75,1300,4000,2.0,0,0,3,7,1300,0,1948,0,98105,1350,4013,80,48,A,A,110091,12.994530005894443
10241,899000,4,2.25,2370,6000,1.0,0,2,3,8,1440,930,1959,0,98177,3280,8843,26,35,A,A,96193,13.709038313453757
10242,279000,3,1.0,1520,8055,1.5,0,0,3,7,1520,0,1952,0,98125,1560,8160,60,57,B,C,56208,12.538967060803502
10244,1355000,3,1.5,2680,4775,2.0,0,2,5,8,1880,800,1913,0,98109,2280,5947,69,69,A,B,88719,14.119312012295937
10256,720001,3,2.5,1430,2200,1.5,0,0,4,7,1430,0,1910,0,98103,1740,4275,90,68,B,B,99083,13.487007879880162
10257,313950,3,1.0,1510,6083,1.0,0,0,4,6,860,650,1940,0,98115,1510,5712,66,63,A,A,61391,12.656989016542255
10258,415000,3,1.0,1510,6083,1.0,0,0,4,6,860,650,1940,0,98115,1510,5712,66,63,A,A,61391,12.936033799212835
10264,829000,4,3.0,3310,4500,2.5,0,0,5,9,2910,400,1900,0,98103,1440,3750,92,63,B,C,65625,13.627975434117433
10268,1245000,3,3.0,4610,8400,2.0,0,2,3,8,2790,1820,1947,1999,98144,2160,5000,49,59,B,C,81676,14.034646087880946
10270,575000,3,1.75,2130,6500,1.0,0,2,3,8,1170,960,1954,0,98199,2020,5000,55,48,A,A,62639,13.262125319779487
10291,465000,3,1.0,930,3348,1.0,0,0,4,6,930,0,1926,0,98118,1210,3348,88,51,C,C,57750,13.049792684569493
10297,440000,2,1.5,1080,6760,1.0,0,2,3,6,1080,0,1923,0,98117,2080,5800,36,40,A,A,96193,12.994530005894443
10299,529500,2,1.0,900,4800,1.0,0,0,4,6,780,120,1944,0,98199,1270,5520,67,41,A,A,90951,13.179688444023599
10300,338000,2,1.0,750,6439,1.0,0,0,4,6,750,0,1934,0,98103,1470,6374,80,56,B,B,65188,12.730801174465157
10303,354000,2,1.0,1390,7740,1.0,0,0,4,6,1390,0,1925,0,98126,1290,7740,79,57,D,D,47701,12.777052192115912
10304,601000,4,3.5,2160,3600,2.0,0,0,3,8,1660,500,1998,0,98122,1230,3840,87,60,D,C,76524,13.306350213517344
10306,462500,2,2.0,1690,4200,2.0,0,0,3,7,1690,0,1906,0,98112,1540,4200,85,63,B,B,68199,13.044401835934616
10308,329000,4,1.0,1120,3844,1.0,0,0,3,7,1120,0,1972,0,98133,1480,3844,82,56,C,B,65188,12.70381302974751
10312,398000,3,1.0,1480,6550,1.5,0,0,4,6,1480,0,1925,0,98126,1200,6550,73,51,B,A,90208,12.894207284266574
10313,550500,2,1.5,930,7400,1.0,0,2,4,7,830,100,1909,0,98116,1920,4152,50,33,B,A,82333,13.218582235144872
10314,709000,3,2.75,2780,7200,1.5,0,0,4,8,1870,910,1913,0,98118,1700,7200,60,35,A,D,59275,13.471610805514265
10315,402000,5,2.75,2770,7620,1.0,0,0,3,7,1700,1070,1965,0,98106,1720,7620,43,49,B,B,47363,12.904207367601158
10317,524000,3,2.25,2140,6720,1.0,0,0,3,8,1440,700,1961,0,98117,2060,6720,29,43,B,A,95927,13.169246963303179
10328,520000,3,1.75,1280,3880,1.5,0,0,5,7,1280,0,1916,0,98117,980,3880,76,48,B,A,101397,13.16158409055761
10332,247800,3,2.5,1580,2170,2.0,0,0,3,7,1580,0,2003,0,98118,1610,1917,73,60,C,C,29286,12.420377248177179
10348,1197000,4,2.5,3940,4407,2.0,0,0,4,8,2620,1320,1921,0,98112,1790,4407,55,59,A,B,131429,13.99532898454011
10350,565000,3,2.25,2560,8040,1.0,0,0,3,8,1510,1050,1958,0,98125,1980,8040,63,57,B,B,51741,13.244581010128577
10352,401000,3,3.25,1770,1977,3.0,0,0,3,8,1770,0,2001,0,98125,1860,2210,81,52,C,D,60131,12.901716706288706
10364,536500,4,1.75,2000,4000,1.5,0,0,5,7,1450,550,1926,0,98126,1430,4000,72,57,B,B,67277,13.19282184105289
10366,750000,2,1.5,1110,3600,1.0,0,0,5,7,1110,0,1904,0,98119,1670,5400,94,63,A,B,98750,13.527828485512494
10368,590000,3,2.0,1410,6413,1.0,0,0,4,7,910,500,1947,0,98115,1330,6050,70,52,A,B,96310,13.287877815881902
10369,680000,2,1.0,2140,6000,1.0,0,0,4,7,1070,1070,1946,0,98199,1560,6000,62,35,A,A,90951,13.42984807715229
10371,581000,2,1.0,1170,4080,1.0,0,0,4,7,1170,0,1909,0,98117,1560,4586,78,48,A,B,85595,13.272506035834049
10374,443000,5,1.75,1650,3000,1.5,0,0,3,8,1650,0,1902,0,98144,1740,4000,78,75,C,C,44571,13.001325049027272
10377,570000,3,1.75,1370,3300,2.0,0,0,5,7,1370,0,1927,0,98105,1560,3927,85,65,B,C,88914,13.253391639810733
10378,979700,4,2.25,2480,6000,2.0,0,2,3,10,2380,100,1929,0,98199,3030,5600,67,36,A,A,157292,13.795001681332733
10379,730000,4,2.5,2030,4080,1.5,0,0,4,8,1730,300,1921,0,98115,1980,4080,82,62,B,C,50500,13.500799813124575
10389,750000,3,2.0,1760,5488,1.5,0,0,3,7,1540,220,1927,0,98119,1760,5943,60,62,A,A,87667,13.527828485512494
10390,1399000,3,2.5,2560,3600,2.0,0,0,3,9,2110,450,1967,2003,98112,2690,4800,78,33,A,B,132000,14.151268253647618
10393,575000,4,2.0,1810,4400,2.0,0,0,3,8,1700,110,1909,0,98122,1470,4400,74,58,B,B,137358,13.262125319779487
10404,965000,4,3.5,3290,5559,1.5,0,0,3,8,2290,1000,1906,2004,98103,1790,6000,74,51,B,B,81563,13.779883380321124
10411,379950,2,1.0,870,7500,1.0,0,0,3,7,870,0,1947,0,98136,1240,5709,81,51,B,A,90208,12.84779494409793
10415,439950,3,2.0,1230,1613,2.0,0,0,3,8,1010,220,2003,0,98107,1610,1873,90,57,B,B,72396,12.994416363073707
10421,630000,5,1.0,3020,4800,2.0,0,0,3,7,3020,0,1901,0,98122,1350,1307,90,93,D,D,43375,13.353475098367715
10424,109000,2,0.5,580,6900,1.0,0,0,3,5,580,0,1941,0,98118,1570,5040,61,47,D,C,38846,11.59910316121128
10433,1084500,4,2.75,2640,5000,2.0,0,0,3,9,1840,800,1943,2004,98105,2010,5000,57,49,A,A,132917,13.896629609249066
10443,400000,5,2.5,2510,7525,1.5,0,0,4,7,1710,800,1929,0,98106,1270,6741,36,45,B,B,74107,12.89921982609012
10447,695000,3,2.0,2500,4080,1.5,0,0,5,7,1680,820,1922,0,98103,1550,3060,81,52,B,B,90568,13.45166712454693
10448,304950,2,1.0,670,6720,1.0,0,0,5,6,670,0,1942,0,98126,710,6720,76,55,C,B,83421,12.627903107724602
10449,650000,3,1.75,1840,2310,1.0,0,2,4,8,1140,700,1914,0,98109,1670,4000,89,66,A,A,96538,13.38472764187182
10450,402500,3,1.75,1480,2211,2.0,0,0,3,7,1480,0,1995,0,98103,1480,2197,76,57,B,C,87159,12.905450375840756
10452,655000,3,2.0,1820,4480,1.0,0,0,5,7,1120,700,1923,0,98105,1920,4480,75,58,A,A,110091,13.39239051461739
10453,577000,5,2.75,1940,5000,2.0,0,0,5,7,1940,0,1951,0,98107,1940,4230,74,55,B,A,97500,13.265597545490236
10459,855000,4,2.0,2380,10800,2.0,0,2,3,8,2380,0,1925,0,98118,2112,6600,46,38,B,D,59275,13.658856747918897
10461,330000,2,2.5,1240,1546,2.0,0,0,3,7,1240,0,2007,0,98108,1520,2468,76,65,B,D,51316,12.706847933442663
10470,402500,2,1.0,800,2280,1.0,0,0,5,6,800,0,1946,0,98107,1310,4200,87,64,B,B,93155,12.905450375840756
10479,400000,4,3.0,2240,7035,2.0,0,0,3,7,2240,0,1942,1993,98146,1060,6300,53,51,B,B,83421,12.89921982609012
10480,202000,1,0.75,590,5650,1.0,0,0,3,6,590,0,1944,0,98118,980,5650,72,48,D,D,38846,12.216022976383341
10487,425000,2,1.75,1550,7800,1.0,0,0,3,7,1050,500,1940,0,98136,1370,5000,81,50,B,A,90208,12.959844447906553
10488,460000,3,1.0,1860,6360,1.0,0,0,3,8,1470,390,1954,0,98136,1770,6175,44,43,B,C,102500,13.038981768465277
10491,435000,2,1.0,1260,4080,1.5,0,0,5,7,1260,0,1926,0,98115,1720,4080,80,54,A,B,111661,12.983101310070822
10494,550000,3,2.0,1810,4064,1.5,0,0,3,7,1810,0,1925,0,98103,1518,2945,79,54,C,C,111661,13.217673557208654
10496,397000,4,1.75,2020,6000,1.0,0,0,3,7,1620,400,1959,0,98144,1870,4000,79,74,C,D,51316,12.891691559669328
10499,1350000,4,3.25,3030,5164,1.5,0,0,5,9,2700,330,1925,0,98112,1890,4415,56,60,A,B,131429,14.115615150414612
10503,495000,3,2.0,1340,2550,2.0,0,0,3,7,1340,0,1984,0,98117,1370,5100,80,49,A,B,85595,13.112313041550827
10508,465000,2,1.0,1120,4000,1.0,0,0,3,7,1120,0,1926,0,98105,1620,4000,80,75,B,B,38487,13.049792684569493
10511,1225000,4,2.25,3490,6906,2.0,0,0,4,10,2280,1210,1928,0,98199,2540,6223,65,35,A,A,157292,14.018451401960965
10521,389100,2,1.0,840,5400,1.0,0,0,4,7,840,0,1948,0,98118,1340,5400,68,50,B,C,84324,12.871591658972646
10529,770000,3,2.25,1870,1900,3.0,0,0,3,8,1870,0,2008,0,98103,1690,1694,86,62,A,B,84728,13.554145793829866
10535,392500,2,1.0,1050,4125,1.0,0,0,4,7,1050,0,1909,0,98144,1650,4125,77,70,B,B,66458,12.8802918162046
10537,500000,3,1.75,1800,7199,1.0,0,0,3,7,1300,500,1972,0,98125,1800,8100,60,53,B,B,56208,13.122363377404328
10548,369500,3,1.5,1650,9957,1.0,0,0,4,7,1100,550,1961,0,98125,1650,7957,71,56,B,B,56208,12.819906019370393
10551,510000,2,1.0,1270,4500,1.5,0,0,4,7,1270,0,1919,0,98122,2140,4550,78,59,C,B,76524,13.142166004700508
10554,660000,4,1.5,1960,4500,1.5,0,2,3,7,1960,0,1922,0,98117,1960,4500,85,49,A,A,97500,13.399995114002609
10558,460000,2,1.0,1430,12092,1.0,0,0,4,7,1430,0,1938,0,98125,2320,10800,23,38,A,A,125109,13.038981768465277
10571,480000,2,1.0,820,4200,1.0,0,0,3,7,820,0,1980,0,98112,1290,4000,86,56,B,A,104632,13.081541382884074
10572,410000,3,1.0,1330,5000,1.0,0,0,3,7,1120,210,1957,0,98125,1920,7790,70,57,C,C,56208,12.92391243868049
10589,325000,2,1.5,940,1222,2.0,0,0,3,7,860,80,2004,0,98125,1302,1840,76,52,B,C,60131,12.691580461311874
10593,951250,5,3.0,2710,8227,1.0,0,2,3,8,1910,800,1953,0,98199,2060,5400,60,44,A,A,66563,13.765532188158033
10596,525000,2,1.0,1080,3500,1.0,0,3,3,7,1080,0,1924,0,98103,1790,4000,75,55,B,B,81563,13.17115354157376
10599,422500,2,1.0,910,4800,1.0,0,0,4,7,910,0,1923,0,98126,1450,5000,55,51,B,A,66794,12.953944725779365
10600,783200,4,2.0,1590,5400,1.0,0,2,3,7,990,600,1900,0,98119,2190,4800,85,59,A,B,100172,13.571143370198438
10604,385000,3,1.75,1560,14288,1.0,0,0,3,6,780,780,1944,0,98125,1320,8928,75,58,C,C,51741,12.86099861326992
10605,549995,3,1.0,1120,6600,1.0,0,0,3,7,1120,0,1943,0,98105,1300,6600,52,45,A,A,132917,13.21766446625824
10610,500000,2,2.25,1290,1334,3.0,0,0,3,8,1290,0,2007,0,98107,1350,1334,96,54,C,B,72396,13.122363377404328
10611,489000,2,2.25,1290,1334,3.0,0,0,3,8,1290,0,2007,0,98107,1350,1334,96,54,C,B,72396,13.10011776845701
10613,562000,3,1.75,1880,5978,1.0,0,0,5,7,940,940,1957,0,98144,1930,4770,81,71,C,D,81676,13.239257128875828
10618,560000,3,1.5,2000,7350,1.0,0,0,3,8,2000,0,1953,0,98177,1890,6960,49,50,A,B,72428,13.235692062711331
10632,563225,3,1.0,2460,4000,1.5,0,0,4,7,1370,1090,1918,0,98112,1680,4000,76,56,B,B,154868,13.241434472045343
10634,645000,2,1.0,1240,5000,1.0,0,0,3,7,1000,240,1920,0,98103,1480,3500,74,59,B,B,71809,13.37700559577791
10637,995000,3,2.25,3200,3800,2.0,0,0,5,9,2650,550,1914,0,98102,2400,3900,53,60,A,B,98617,13.81049801614073
10642,738000,3,1.0,1280,3900,1.0,0,0,4,7,1280,0,1921,0,98103,2020,4560,84,60,B,B,99083,13.51169910358261
10651,439000,2,2.5,1350,944,2.0,0,0,3,9,870,480,2004,0,98116,1440,1350,95,53,C,B,66794,12.992254692057308
10654,350000,3,1.5,1090,5003,1.0,0,0,3,7,1090,0,1962,0,98125,1540,5279,82,63,B,B,31863,12.765688433465597
10659,615000,3,3.0,1420,991,2.0,0,0,3,8,1040,380,2005,0,98102,1500,1301,81,52,B,B,76980,13.329377546788654
10667,715000,4,2.25,2060,5649,1.0,0,0,5,8,1360,700,1941,0,98199,2060,5626,48,35,A,A,157292,13.480037821676145
10668,541000,3,1.75,1410,4080,1.5,0,0,4,7,1410,0,1927,0,98105,1820,4080,84,69,C,C,88914,13.201174557828619
10674,443000,3,1.75,1640,4579,1.0,0,0,4,6,1640,0,1916,0,98133,1580,5040,76,57,C,B,72428,13.001325049027272
10684,452000,2,1.0,1220,6000,1.0,0,0,3,6,880,340,1938,0,98118,1220,6840,56,32,A,D,59275,13.021437458814368
10687,595000,3,1.75,2060,3600,1.5,0,0,3,7,1180,880,1905,1985,98119,1730,2475,81,59,B,B,100172,13.296316684527767
10694,704000,3,1.0,1140,6120,1.5,0,0,3,7,1140,0,1926,0,98115,1800,4080,66,57,B,B,91458,13.46453363514018
10697,1325000,4,3.0,3370,7920,1.0,0,3,3,10,1860,1510,1988,0,98117,2730,7380,39,22,A,A,79681,14.09692301740246
10699,705000,4,2.0,2040,5050,1.0,0,0,5,7,1160,880,1937,0,98115,2040,5050,68,55,A,B,111661,13.465953081794405
10707,925500,3,2.75,1970,5200,1.5,0,3,3,8,1970,0,1915,2002,98136,2140,5200,76,49,A,A,102500,13.73808941099569
10711,335000,3,2.0,1340,1951,1.0,0,0,3,6,670,670,1915,0,98144,1520,2248,75,74,B,B,66458,12.721885810807203
10712,428000,4,2.0,1300,7200,1.0,0,0,3,7,1300,0,1958,0,98122,1540,6600,75,58,B,B,104632,12.966878474563934
10715,415000,5,1.75,1960,3748,1.0,0,0,3,7,980,980,1965,0,98133,1410,3844,82,56,C,B,56744,12.936033799212835
10716,392000,3,1.0,1090,6125,1.0,0,0,4,6,790,300,1945,0,98126,1050,6125,60,45,C,B,55504,12.8790171187726
10717,555000,2,1.0,1550,4600,1.0,0,0,4,7,1050,500,1941,0,98117,1550,4600,83,51,A,B,101397,13.226723392728571
10728,360000,3,1.75,1950,7260,1.0,0,0,3,8,1520,430,1957,0,98133,1950,7548,39,46,A,B,60131,12.793859310432293
10735,585000,3,1.5,1810,3880,1.5,0,0,4,8,1310,500,1929,0,98117,1400,3880,65,45,A,A,101397,13.279367126213993
10745,443000,3,1.0,1280,5460,1.5,0,0,4,7,1280,0,1931,0,98133,1390,5500,49,49,B,B,64297,13.001325049027272
10746,287000,2,1.0,950,6350,1.0,0,0,3,7,950,0,1951,0,98106,1080,7620,53,48,B,C,47363,12.567237494741757
10751,433000,4,1.0,1710,7000,1.5,0,0,3,7,1710,0,1950,0,98125,2030,7938,44,48,B,B,69643,12.978493006984626
10758,520000,3,1.0,940,3000,1.5,0,0,3,7,940,0,1903,0,98122,1210,3500,84,67,D,C,76524,13.16158409055761
10759,555000,2,2.25,1370,1248,2.0,0,0,3,7,1200,170,2000,0,98102,1800,3360,71,56,A,B,76980,13.226723392728571
10763,709000,4,1.75,2170,4600,1.0,0,0,3,7,1270,900,1950,0,98117,1750,4000,81,51,A,B,101397,13.471610805514265
10766,1308000,5,2.5,3200,7863,1.0,0,3,5,8,1600,1600,1959,0,98199,2640,7680,67,46,A,A,62639,14.08400981099928
10788,200000,2,1.0,830,7200,1.0,0,0,2,6,830,0,1920,0,98118,1150,6600,74,49,B,C,84324,12.206072645530174
10791,310000,1,1.0,670,4920,1.0,0,0,3,5,670,0,1920,0,98126,1050,4920,48,44,C,B,75123,12.644327576461329
10793,521000,3,3.25,1460,1254,3.0,0,0,3,8,1460,0,2000,0,98103,1400,1255,94,67,B,B,71809,13.163505320735505
10794,495000,2,2.0,1540,7110,1.0,0,0,3,7,960,580,1949,0,98117,1860,7065,45,46,B,B,95927,13.112313041550827
10800,825000,2,2.0,1830,3600,1.0,0,0,4,7,1230,600,1926,0,98109,2020,3600,92,62,A,B,98750,13.623138665316818
10804,976000,4,1.5,3120,7680,1.0,0,3,3,8,1660,1460,1956,0,98199,2900,7680,55,46,A,B,62639,13.791217865395229
10811,442500,3,1.0,1120,8200,1.0,0,0,4,7,1120,0,1938,0,98125,1820,7205,73,56,C,C,44951,13.00019574343012
10812,480000,3,2.0,1300,3000,2.0,0,0,3,7,1300,0,1986,0,98115,1670,4500,83,60,A,B,65172,13.081541382884074
10813,715500,3,2.25,2410,9668,1.0,0,1,4,8,1540,870,1965,0,98117,2510,5250,17,35,A,A,95927,13.480736877978643
10818,318000,3,2.25,1690,12662,1.0,0,0,5,7,1090,600,1982,0,98178,1950,9642,13,37,B,B,71524,12.669806661762314
10819,311300,2,1.0,1000,7228,1.0,0,0,4,7,1000,0,1947,0,98133,1100,7228,68,48,B,C,32472,12.6485123564297
10834,812000,4,2.0,2380,6122,1.0,0,2,4,8,1310,1070,1949,0,98199,1810,5202,56,35,A,A,157292,13.607255619143816
10837,700000,4,2.5,2672,4297,2.0,0,0,3,8,2020,652,2005,0,98115,1720,6120,75,43,A,A,132981,13.458835614025542
10838,435000,3,1.0,1180,4219,1.0,0,0,3,7,1060,120,1939,0,98117,1630,4219,85,53,B,B,90789,12.983101310070822
10844,740000,4,2.75,2490,17833,2.0,0,2,3,9,1490,1000,1979,0,98125,2640,16943,28,54,B,B,44951,13.514405465180353
10845,360000,2,0.75,850,7710,1.0,0,2,5,6,550,300,1909,0,98108,2500,6022,71,63,C,D,60682,12.793859310432293
10846,548500,4,2.0,1820,7200,1.0,0,0,3,7,1300,520,1976,0,98136,1770,8149,37,44,B,A,83421,13.214942558697421
10847,599000,3,1.75,1960,4788,1.0,0,0,4,7,1090,870,1920,0,98115,1960,3960,91,62,C,C,50500,13.303016877097587
10851,500000,3,1.5,2210,6500,1.0,0,0,4,7,1030,1180,1912,0,98136,1750,6370,81,50,B,A,90208,13.122363377404328
10854,594000,3,1.0,1320,5000,1.0,0,0,4,7,1090,230,1920,0,98107,1700,5000,82,57,B,A,93155,13.294634598344782
10859,1250000,3,3.0,3760,8500,2.5,0,3,4,10,3060,700,1910,0,98116,2610,5500,61,38,B,A,77808,14.038654109278484
10866,540000,3,2.5,2520,5000,3.0,0,0,3,9,2520,0,1990,0,98106,1130,5000,37,53,B,A,67277,13.199324418540456
10867,750000,4,1.5,2060,4000,1.5,0,2,3,7,1580,480,1920,1990,98103,1160,4000,88,50,B,A,90568,13.527828485512494
10872,175000,2,1.0,660,5000,1.0,0,0,3,6,660,0,1915,0,98106,1000,5000,52,55,B,B,67277,12.072541252905651
10876,238950,2,1.0,1190,11400,1.0,0,0,3,7,1190,0,1951,0,98178,1410,11400,13,42,B,C,71524,12.384009604006303
10880,656000,4,1.75,1440,4300,1.5,0,0,4,8,1290,150,1929,0,98117,1640,5000,82,51,A,B,90789,13.393916067926225
10882,600000,2,2.0,990,5416,1.0,0,0,3,6,990,0,1935,0,98122,1650,3360,87,87,C,C,56700,13.304684934198283
10884,210750,4,1.5,1840,7076,1.5,0,0,3,7,1840,0,1957,0,98106,1510,7320,73,48,B,B,47363,12.258427875864102
10885,485000,4,1.0,1150,2560,1.5,0,0,3,7,1150,0,1909,0,98109,1890,3000,84,62,B,B,98750,13.091904169919621
10888,462500,4,1.0,1540,4500,1.5,0,0,2,7,1540,0,1905,0,98116,1920,6000,75,40,B,B,77808,13.044401835934616
10892,440000,2,1.5,1120,1024,2.0,0,0,3,8,1120,0,1970,1998,98122,1120,1549,85,60,B,B,104632,12.994530005894443
10900,570000,2,1.0,1060,4000,1.0,0,0,4,7,1060,0,1910,0,98115,1770,4000,92,64,B,C,50500,13.253391639810733
10907,650500,4,1.75,2340,5940,1.0,0,0,3,8,1290,1050,1953,0,98115,1930,5940,61,47,A,A,110458,13.385496576934697
10909,535000,2,2.0,1510,5133,1.5,0,0,3,7,1510,0,1939,0,98199,1470,6000,77,37,A,A,157292,13.190022025878143
10910,360000,5,2.0,2120,2400,1.0,0,0,4,6,1080,1040,1906,0,98144,1690,4400,76,61,D,B,79953,12.793859310432293
10912,460000,2,1.0,1030,5934,1.0,0,0,4,7,1030,0,1928,0,98115,1420,5588,74,45,A,B,103917,13.038981768465277
10914,463000,2,1.0,1150,4400,1.0,0,0,4,7,1150,0,1905,0,98112,1240,4400,70,54,B,A,104632,13.045482333068371
10921,725000,4,1.0,1600,4500,1.5,0,0,4,7,1600,0,1926,0,98115,1720,4500,86,58,B,C,91458,13.493926933836812
10923,582500,2,1.75,1990,6549,1.0,0,0,3,7,1170,820,1948,0,98115,1640,7202,49,48,A,B,85759,13.275084464421992
10928,711000,4,2.5,2095,4400,1.5,0,0,5,8,1295,800,1910,0,98116,1980,4400,80,42,B,B,77808,13.474427708785377
10939,500000,3,1.0,1220,3400,1.0,0,0,3,7,1060,160,1927,0,98117,1350,3750,74,48,A,B,97500,13.122363377404328
10940,448000,2,1.5,1630,3780,1.0,0,0,4,7,890,740,1940,0,98107,1770,6400,53,42,A,A,79681,13.012548511397123
10945,294000,2,1.0,850,5250,1.0,0,0,4,7,850,0,1950,0,98133,1440,5250,81,51,B,D,64297,12.591335046320818
10950,665000,3,2.25,2580,6000,2.0,0,0,3,8,1780,800,1925,0,98144,2300,5995,76,66,C,D,81676,13.407542319637992
10952,675000,2,1.75,2140,5000,1.0,0,0,3,7,1000,1140,1930,1991,98112,2250,4000,78,50,B,B,132000,13.422467969854667
10954,875000,4,1.5,1800,3245,1.5,0,0,4,8,1800,0,1929,0,98103,1800,4275,94,67,B,B,99083,13.681979165339751
10956,320000,3,1.0,860,5060,1.5,0,0,3,7,860,0,1927,0,98133,880,5060,79,60,D,C,56744,12.676076274775909
10959,137900,3,1.75,1160,5082,1.0,0,0,3,6,580,580,1942,0,98178,1730,6000,15,45,B,B,71524,11.834284063781393
10961,360000,3,1.0,1280,3870,1.0,0,0,3,7,640,640,1945,0,98122,1280,4800,78,60,B,B,104632,12.793859310432293
10965,283000,2,1.0,940,6350,1.0,0,0,4,5,940,0,1942,0,98103,1490,6350,81,55,B,C,62786,12.553202176625375
10968,535000,3,2.5,1850,1499,2.5,0,0,3,9,1790,60,2005,0,98199,1770,1539,64,39,A,A,90951,13.190022025878143
10969,554729,4,2.5,2020,4350,2.0,0,0,5,9,1730,290,1943,0,98199,1620,5800,38,34,A,A,157292,13.226234985188736
10970,868000,4,2.5,2020,4350,2.0,0,0,5,9,1730,290,1943,0,98199,1620,5800,38,34,A,A,157292,13.673946993642486
10972,455000,4,1.75,1920,6000,1.0,0,0,4,7,960,960,1954,0,98125,1850,7200,86,56,C,C,60131,13.028052697933088
10976,742500,4,2.75,3100,3773,2.0,0,0,3,8,2000,1100,1919,1996,98122,2130,3777,79,56,B,B,137358,13.517778149658993
10982,1565000,3,1.75,2190,8500,1.0,0,0,4,9,2190,0,1957,0,98112,2850,8868,58,32,A,A,132000,14.26339638195639
10985,730000,3,1.75,1650,5000,1.5,0,0,4,8,1650,0,1900,0,98107,1630,5000,85,52,B,B,85595,13.500799813124575
10991,349000,2,1.0,1150,7552,1.0,0,0,3,7,1150,0,1951,0,98125,1150,7346,55,49,B,C,56208,12.762827201184564
10992,554950,4,1.75,1740,4816,1.0,0,0,5,7,870,870,1942,0,98116,1210,5074,80,47,B,A,71705,13.226633298580126
10993,326000,6,3.0,2580,8064,1.5,0,0,3,7,1880,700,1913,0,98118,1510,6084,93,61,C,D,57750,12.694652660348845
11007,599950,3,3.25,1830,1804,3.0,0,0,3,8,1830,0,2014,0,98117,1830,1804,83,55,C,B,96193,13.304601597392535
11008,190000,4,1.0,1190,7920,1.0,0,0,3,6,890,300,1951,0,98126,1140,7920,55,51,B,B,75123,12.154779351142624
11012,308000,3,1.0,1010,8800,1.0,0,0,4,7,1010,0,1954,0,98118,1400,4095,85,55,C,C,57750,12.637855061955712
11013,1020000,6,2.25,2550,5000,2.0,0,0,4,7,2550,0,1907,0,98117,1480,5000,55,41,A,A,79681,13.835313185260453
11014,397500,3,1.0,1480,5100,1.5,0,0,3,7,1480,0,1938,1959,98103,1300,5100,88,54,C,C,87159,12.892950213076524
